Date,Good,Amount
"""1845-8-1",ammunition,125.54846
"""1845-8-1",small_arms,47.83560
"""1845-8-1",artillery,25.76135
"""1845-8-1",canned_food,400.71576
"""1845-8-1",barrels,1.00000
"""1845-8-1",aeroplanes,1.00000
"""1845-8-1",cotton,729.44638
"""1845-8-1",dye,97.27872
"""1845-8-1",wool,2504.82407
"""1845-8-1",silk,134.85080
"""1845-8-1",coal,2919.78357
"""1845-8-1",sulphur,295.88855
"""1845-8-1",iron,972.20383
"""1845-8-1",timber,5173.30701
"""1845-8-1",tropical_wood,252.71069
"""1845-8-1",rubber,1.00000
"""1845-8-1",oil,1.00000
"""1845-8-1",precious_metal,146.63782
"""1845-8-1",precious_goods,31.42062
"""1845-8-1",steel,736.58664
"""1845-8-1",cement,91.67963
"""1845-8-1",machine_parts,15.39746
"""1845-8-1",glass,2261.63171
"""1845-8-1",fuel,1.00000
"""1845-8-1",fertilizer,260.63782
"""1845-8-1",explosives,104.40881
"""1845-8-1",clipper_convoy,37.05151
"""1845-8-1",steamer_convoy,67.01678
"""1845-8-1",electric_gear,1.00000
"""1845-8-1",fabric,1820.68857
"""1845-8-1",lumber,6742.90616
"""1845-8-1",paper,721.46921
"""1845-8-1",cattle,1341.13910
"""1845-8-1",fish,1290.32486
"""1845-8-1",fruit,2059.09277
"""1845-8-1",grain,3703.48492
"""1845-8-1",tobacco,486.63214
"""1845-8-1",tea,1909.45782
"""1845-8-1",coffee,266.86264
"""1845-8-1",opium,82.36087
"""1845-8-1",automobiles,1.00000
"""1845-8-1",telephones,1.00000
"""1845-8-1",wine,933.47858
"""1845-8-1",liquor,997.74185
"""1845-8-1",regular_clothes,603.03864
"""1845-8-1",luxury_clothes,56.70755
"""1845-8-1",furniture,1774.69638
"""1845-8-1",luxury_furniture,52.49228
"""1845-8-1",radio,1.00000
"""1845-7-31",ammunition,125.50607
"""1845-7-31",small_arms,47.67010
"""1845-7-31",artillery,26.48218
"""1845-7-31",canned_food,402.28625
"""1845-7-31",barrels,1.00000
"""1845-7-31",aeroplanes,1.00000
"""1845-7-31",cotton,729.44348
"""1845-7-31",dye,98.17636
"""1845-7-31",wool,2504.80112
"""1845-7-31",silk,134.84998
"""1845-7-31",coal,2919.75110
"""1845-7-31",sulphur,298.26239
"""1845-7-31",iron,972.17755
"""1845-7-31",timber,5184.59323
"""1845-7-31",tropical_wood,252.70380
"""1845-7-31",rubber,1.00000
"""1845-7-31",oil,1.00000
"""1845-7-31",precious_metal,146.80942
"""1845-7-31",precious_goods,31.42062
"""1845-7-31",steel,735.16556
"""1845-7-31",cement,89.94772
"""1845-7-31",machine_parts,15.35663
"""1845-7-31",glass,2272.18909
"""1845-7-31",fuel,1.00000
"""1845-7-31",fertilizer,258.39981
"""1845-7-31",explosives,104.50702
"""1845-7-31",clipper_convoy,30.77405
"""1845-7-31",steamer_convoy,66.79279
"""1845-7-31",electric_gear,1.00000
"""1845-7-31",fabric,1789.16687
"""1845-7-31",lumber,6794.11560
"""1845-7-31",paper,739.50372
"""1845-7-31",cattle,1341.13501
"""1845-7-31",fish,1290.27167
"""1845-7-31",fruit,2060.01590
"""1845-7-31",grain,3703.81332
"""1845-7-31",tobacco,486.78009
"""1845-7-31",tea,1909.47900
"""1845-7-31",coffee,268.81488
"""1845-7-31",opium,82.36066
"""1845-7-31",automobiles,1.00000
"""1845-7-31",telephones,1.00000
"""1845-7-31",wine,934.75247
"""1845-7-31",liquor,1000.63220
"""1845-7-31",regular_clothes,615.59372
"""1845-7-31",luxury_clothes,57.22644
"""1845-7-31",furniture,1796.41287
"""1845-7-31",luxury_furniture,52.79663
"""1845-7-31",radio,1.00000
"""1845-7-20",ammunition,17.21890
"""1845-7-20",small_arms,14.54584
"""1845-7-20",artillery,1.37112
"""1845-7-20",canned_food,5.38504
"""1845-7-20",cotton,185.11389
"""1845-7-20",dye,92.24451
"""1845-7-20",wool,1058.39096
"""1845-7-20",coal,107.85123
"""1845-7-20",precious_metal,18.62723
"""1845-7-20",precious_goods,21.71115
"""1845-7-20",steel,67.57733
"""1845-7-20",cement,18.44803
"""1845-7-20",machine_parts,5.62143
"""1845-7-20",glass,84.11060
"""1845-7-20",fertilizer,29.74750
"""1845-7-20",explosives,25.37045
"""1845-7-20",clipper_convoy,1.12427
"""1845-7-20",steamer_convoy,33.26941
"""1845-7-20",fabric,868.99673
"""1845-7-20",lumber,667.07666
"""1845-7-20",paper,86.13745
"""1845-7-20",cattle,188.86411
"""1845-7-20",fish,217.97470
"""1845-7-20",fruit,222.70569
"""1845-7-20",grain,377.27335
"""1845-7-20",tobacco,136.74823
"""1845-7-20",opium,14.50391
"""1845-7-20",wine,13.43341
"""1845-7-20",liquor,64.95297
"""1845-7-20",regular_clothes,49.18817
"""1845-7-20",luxury_clothes,0.48654
"""1845-7-20",furniture,119.21881
"""1845-7-20",luxury_furniture,0.55280
"""1845-7-10",ammunition,15.47974
"""1845-7-10",small_arms,4.83099
"""1845-7-10",artillery,6.76401
"""1845-7-10",canned_food,16.22382
"""1845-7-10",cotton,14.43896
"""1845-7-10",dye,1.16418
"""1845-7-10",wool,79.30579
"""1845-7-10",silk,2.52475
"""1845-7-10",coal,339.12021
"""1845-7-10",sulphur,40.03046
"""1845-7-10",iron,110.92139
"""1845-7-10",timber,235.41409
"""1845-7-10",precious_metal,4.13791
"""1845-7-10",steel,87.91373
"""1845-7-10",cement,11.56357
"""1845-7-10",machine_parts,0.73834
"""1845-7-10",glass,124.26416
"""1845-7-10",fertilizer,23.01956
"""1845-7-10",explosives,23.80582
"""1845-7-10",clipper_convoy,6.30612
"""1845-7-10",fabric,28.25958
"""1845-7-10",lumber,226.94537
"""1845-7-10",paper,14.78009
"""1845-7-10",cattle,97.22418
"""1845-7-10",fish,101.52335
"""1845-7-10",fruit,262.50882
"""1845-7-10",grain,475.41827
"""1845-7-10",tobacco,18.31949
"""1845-7-10",wine,106.52167
"""1845-7-10",liquor,50.55734
"""1845-7-10",regular_clothes,2.75146
"""1845-7-10",luxury_clothes,1.75949
"""1845-7-10",furniture,103.09082
"""1845-7-10",luxury_furniture,2.96692
"""1845-7-8",ammunition,15.48166
"""1845-7-8",small_arms,4.83069
"""1845-7-8",artillery,6.76401
"""1845-7-8",canned_food,16.22324
"""1845-7-8",cotton,14.43896
"""1845-7-8",dye,1.16418
"""1845-7-8",wool,79.28973
"""1845-7-8",silk,2.52475
"""1845-7-8",coal,339.18549
"""1845-7-8",sulphur,40.02313
"""1845-7-8",iron,110.90308
"""1845-7-8",timber,235.41409
"""1845-7-8",precious_metal,4.13791
"""1845-7-8",steel,87.91373
"""1845-7-8",cement,11.55881
"""1845-7-8",machine_parts,0.73834
"""1845-7-8",glass,124.26416
"""1845-7-8",fertilizer,23.01779
"""1845-7-8",explosives,23.80582
"""1845-7-8",clipper_convoy,6.30594
"""1845-7-8",fabric,28.25958
"""1845-7-8",lumber,226.94537
"""1845-7-8",paper,14.78003
"""1845-7-8",cattle,97.19418
"""1845-7-8",fish,101.50879
"""1845-7-8",fruit,262.60245
"""1845-7-8",grain,475.38187
"""1845-7-8",tobacco,18.31592
"""1845-7-8",wine,106.51981
"""1845-7-8",liquor,50.55054
"""1845-7-8",regular_clothes,2.74643
"""1845-7-8",luxury_clothes,1.75928
"""1845-7-8",furniture,103.08606
"""1845-7-8",luxury_furniture,2.96677
